,mean_pm2.5_ug/m3,mean_ammonium_sulfate_ug/m3,sulfate_fraction_%
India,35.33860397338867,11.936734199523926,33.778171340647035
Around TPPs,42.144588470458984,15.34848690032959,36.41864224415912
Outside TPPs,26.926654815673828,6.174034118652344,22.929079608724656
